,Datum,Termin,GradIme,Podatci
0,02.03.2023,18.0,,
1,,,Amsterdam,
2,,,Ankara,
3,,,Atena,
4,,,Barcelona,
5,,,Beč,
6,,,Beograd,
7,,,Berlin,
8,,,Bern,
9,,,Bonn,
10,,,Bratislava,
11,,,Brno,
12,,,Bruxelles,
13,,,Budimpešta,
14,,,Bukurešt,
15,,,Cork,
16,,,Dublin,
17,,,Edinburgh,
18,,,Firenca,
19,,,Frankfurt,
20,,,Genova,
21,,,Glasgow,
22,,,Graz,
23,,,Helsinki,
24,,,Istanbul,
25,,,Kiev,
26,,,Kišinjev,
27,,,Kopenhagen,
28,,,Krakov,
29,,,Larnaca,
30,,,London-Heathrow,
31,,,Luxemburg,
32,,,Ljubljana,
33,,,Madrid,
34,,,Maribor,
35,,,Milano,
36,,,Moskva,
37,,,Mostar,
38,,,München,
39,,,Napulj,
40,,,Nica,
41,,,Novi Sad,
42,,,Oslo,
43,,,Palermo,
44,,,Paris-aerodrom,
45,,,Pečuh,
46,,,Podgorica,
47,,,Prag,
48,,,Reykjavik,
49,,,Rim,
50,,,Salzburg,
51,,,Sarajevo,
52,,,Skopje,
53,,,Sofija,
54,,,Stockholm,
55,,,Strasbourg,
56,,,Tallinn,
57,,,Tirana,
58,,,Toulouse,
59,,,Trst,
60,,,Tuzla,
61,,,Varšava,
62,,,Venecija,
63,,,Vilnius,
64,,,Zagreb,
65,,,Zürich,
66,,,Ženeva,
