,Datum,Termin,autom,GradIme,Lat,Lon,Podatci
0,02.03.2023,20.0,,,,,
1,,,0.0,RC Bilogora,45.884,17.2,
2,,,0.0,Bjelovar,45.91,16.869,
3,,,1.0,Crikvenica,45.173,14.689,
4,,,0.0,Daruvar,45.592,17.21,
5,,,0.0,Dubrovnik,42.645,18.085,
6,,,0.0,Gospić,44.551,15.373,
7,,,0.0,RC Gorice (kod Nove Gradiške),45.224,17.278,
8,,,0.0,RC Gradište (kod Županje),45.159,18.704,
9,,,1.0,Gruda,42.52,18.366,
10,,,0.0,Hvar,43.171,16.437,
11,,,0.0,Karlovac,45.494,15.565,
12,,,1.0,Knin,44.041,16.207,
13,,,0.0,Komiža,43.048,16.085,
14,,,1.0,Krapina,46.138,15.888,
15,,,0.0,Križevci,46.029,16.554,
16,,,1.0,Kutjevo,45.424,17.876,
17,,,0.0,Lastovo,42.768,16.9,
18,,,1.0,Malinska,45.126,14.527,
19,,,0.0,Makarska,43.288,17.02,
20,,,0.0,Mali Lošinj,44.533,14.472,
21,,,0.0,Ogulin,45.263,15.222,
22,,,1.0,Opatija,45.341,14.313,
23,,,0.0,RC Osijek-Čepin,45.503,18.561,
24,,,0.0,Parg-Čabar,45.594,14.631,
25,,,0.0,Pazin,45.241,13.945,
26,,,1.0,NP Plitvička jezera,44.881,15.62,
27,,,0.0,Ploče,43.048,17.443,
28,,,1.0,Porer - svjetionik,44.758,13.89,
29,,,1.0,Prevlaka,42.393,18.531,
30,,,0.0,Pula-aerodrom,44.896,13.932,
31,,,0.0,RC Puntijarka,45.908,15.968,
32,,,0.0,Rab,44.756,14.769,
33,,,0.0,Rijeka,45.337,14.443,
34,,,1.0,Sv. Ivan na pučini - svjetionik,45.043,13.614,
35,,,0.0,Senj,44.993,14.903,
36,,,0.0,Sisak,45.499,16.367,
37,,,0.0,Slavonski Brod,45.159,17.995,
38,,,0.0,Split-Marjan,43.508,16.426,
39,,,0.0,Split-aerodrom,43.539,16.301,
40,,,0.0,Šibenik,43.728,15.906,
41,,,0.0,Varaždin,46.283,16.364,
42,,,1.0,Veli Rat - svjetionik,44.152,14.82,
43,,,0.0,Zadar,44.13,15.206,
44,,,0.0,Zagreb-Grič,45.814,15.972,
45,,,0.0,Zagreb-Maksimir,45.822,16.034,
46,,,0.0,Zavižan,44.815,14.975,
